sales_key,customer_key,product_key,date_key,load_date,quantity,gross_revenue,returns_amount,net_revenue
aa3bb481a66a,c4306cba2120,e8c7cab22da2,2024-11-22,2024-11-22,18,11610.57,0.0,11610.57
2e5a8cebdff0,9f931bb14d80,999481f026b2,2024-05-26,2024-05-26,16,5663.14,0.0,5663.14
2ea9a38fd751,96bbf587646d,2565587639ac,2024-12-21,2024-12-21,10,4932.32,0.0,4932.32
adaf4e61ca57,9509000619b3,459ae78ee6d3,2024-04-15,2024-06-13,27,8253.96,973.97,7279.99
b5363dc72220,68783a793ffd,091b5b2306f4,2024-06-29,2024-06-29,20,14754.31,1903.31,12851.0
7d6a3ca8500b,7721e9d82d2b,5dae24f1c6b7,2024-10-06,2024-10-06,39,33431.11,0.0,33431.11
a1a113db19cc,73973d37dab0,3a56db8703f1,2024-12-08,2024-12-08,44,29225.6,0.0,29225.6
1696d9637a9f,b0d3c4c05f29,d7f53e733ed8,2024-01-14,2024-01-14,26,10409.22,0.0,10409.22
3a7fc899981b,fcac0777852a,348b9da2ae8f,2024-01-26,2024-01-26,17,5625.09,0.0,5625.09
03231e126193,015d65ea2573,c8def53aa5e1,2024-08-03,2024-08-03,17,10955.08,0.0,10955.08
63dae1337f46,af17a1838886,32ca003f13d5,2024-11-28,2024-11-28,5,904.19,0.0,904.19
83f7edc6854e,958f04f21f17,a28f10595545,2024-01-11,2024-01-11,40,17737.33,0.0,17737.33
8752ed2f00a9,2804f4e48008,5c67ff91b651,2024-12-24,2024-12-24,17,4791.57,0.0,4791.57
e2a03392c6f5,540f2386f45e,79f6d802ad89,2024-03-24,2024-03-24,20,2368.67,0.0,2368.67
e7f11ff6ef74,444496ef19f0,2dd08ca9a60e,2024-04-11,2024-04-11,5,1783.47,0.0,1783.47
2ccc25dcede1,a2c6033263c5,3b0e4cfdd3b3,2024-12-16,2024-12-16,39,21561.76,0.0,21561.76
b77c96095c3c,96c7d03cc7cd,2229196545d7,2024-12-04,2024-12-04,24,9328.79,0.0,9328.79
9e53168a78e7,79df87ccb0ea,726cea0fee93,2024-08-09,2024-08-09,24,8317.1,0.0,8317.1
94785d405217,a481a6e690ce,009da4c25139,2024-11-29,2024-11-29,18,10342.44,0.0,10342.44
ec4ec4512ca6,a481a6e690ce,8d4b91272e30,2024-05-17,2024-05-17,21,6752.84,0.0,6752.84
903a59f32393,ec15ce5b25ea,5da6f21ae473,2024-08-25,2024-08-25,37,24381.66,0.0,24381.66
3128400d7cda,4f978b56d50b,c1ec1f84d61b,2024-04-18,2024-04-18,23,12908.12,748.67,12159.45
5c713e1093c4,96fbf1efe3d5,49ba8e93926a,2024-01-06,2024-01-06,34,22049.05,0.0,22049.05
c096a4942243,6d33b834a072,e8c7cab22da2,2024-12-19,2024-12-19,31,18937.76,0.0,18937.76
8fef318caa6f,ef6abefb827e,2dd08ca9a60e,2024-12-20,2024-12-20,16,4927.21,0.0,4927.21
008ac4db1a36,0b178394382e,5dae24f1c6b7,2024-10-08,2024-10-08,22,14564.33,0.0,14564.33
a07be0a794b3,92e3f2730357,ace6f1af0777,2024-06-10,2024-06-10,8,3172.47,0.0,3172.47
dfee76102395,1d4c27fa2cca,e5b0897fe847,2024-05-21,2024-05-21,47,17111.43,0.0,17111.43
