date_key,year,quarter,month,month_name,day,fiscal_year
2024-01-01,2024,1,1,January,1,2023
2024-01-02,2024,1,1,January,2,2023
2024-01-03,2024,1,1,January,3,2023
2024-01-04,2024,1,1,January,4,2023
2024-01-05,2024,1,1,January,5,2023
2024-01-06,2024,1,1,January,6,2023
2024-01-07,2024,1,1,January,7,2023
2024-01-08,2024,1,1,January,8,2023
2024-01-09,2024,1,1,January,9,2023
2024-01-10,2024,1,1,January,10,2023
2024-01-11,2024,1,1,January,11,2023
2024-01-12,2024,1,1,January,12,2023
2024-01-13,2024,1,1,January,13,2023
2024-01-14,2024,1,1,January,14,2023
2024-01-15,2024,1,1,January,15,2023
2024-01-16,2024,1,1,January,16,2023
2024-01-17,2024,1,1,January,17,2023
2024-01-18,2024,1,1,January,18,2023
2024-01-19,2024,1,1,January,19,2023
2024-01-20,2024,1,1,January,20,2023
2024-01-21,2024,1,1,January,21,2023
2024-01-22,2024,1,1,January,22,2023
2024-01-23,2024,1,1,January,23,2023
2024-01-24,2024,1,1,January,24,2023
2024-01-25,2024,1,1,January,25,2023
2024-01-26,2024,1,1,January,26,2023
2024-01-27,2024,1,1,January,27,2023
2024-01-28,2024,1,1,January,28,2023
2024-01-29,2024,1,1,January,29,2023
2024-01-30,2024,1,1,January,30,2023
2024-01-31,2024,1,1,January,31,2023
2024-02-01,2024,1,2,February,1,2023
2024-02-02,2024,1,2,February,2,2023
2024-02-03,2024,1,2,February,3,2023
2024-02-04,2024,1,2,February,4,2023
2024-02-05,2024,1,2,February,5,2023
2024-02-06,2024,1,2,February,6,2023
2024-02-07,2024,1,2,February,7,2023
2024-02-08,2024,1,2,February,8,2023
2024-02-09,2024,1,2,February,9,2023
2024-02-10,2024,1,2,February,10,2023
2024-02-11,2024,1,2,February,11,2023
2024-02-12,2024,1,2,February,12,2023
2024-02-13,2024,1,2,February,13,2023
2024-02-14,2024,1,2,February,14,2023
2024-02-15,2024,1,2,February,15,2023
2024-02-16,2024,1,2,February,16,2023
2024-02-17,2024,1,2,February,17,2023
2024-02-18,2024,1,2,February,18,2023
2024-02-19,2024,1,2,February,19,2023
2024-02-20,2024,1,2,February,20,2023
2024-02-21,2024,1,2,February,21,2023
2024-02-22,2024,1,2,February,22,2023
2024-02-23,2024,1,2,February,23,2023
2024-02-24,2024,1,2,February,24,2023
2024-02-25,2024,1,2,February,25,2023
2024-02-26,2024,1,2,February,26,2023
2024-02-27,2024,1,2,February,27,2023
2024-02-28,2024,1,2,February,28,2023
2024-02-29,2024,1,2,February,29,2023
2024-03-01,2024,1,3,March,1,2023
2024-03-02,2024,1,3,March,2,2023
2024-03-03,2024,1,3,March,3,2023
2024-03-04,2024,1,3,March,4,2023
2024-03-05,2024,1,3,March,5,2023
2024-03-06,2024,1,3,March,6,2023
2024-03-07,2024,1,3,March,7,2023
2024-03-08,2024,1,3,March,8,2023
2024-03-09,2024,1,3,March,9,2023
2024-03-10,2024,1,3,March,10,2023
2024-03-11,2024,1,3,March,11,2023
2024-03-12,2024,1,3,March,12,2023
2024-03-13,2024,1,3,March,13,2023
2024-03-14,2024,1,3,March,14,2023
2024-03-15,2024,1,3,March,15,2023
2024-03-16,2024,1,3,March,16,2023
2024-03-17,2024,1,3,March,17,2023
2024-03-18,2024,1,3,March,18,2023
2024-03-19,2024,1,3,March,19,2023
2024-03-20,2024,1,3,March,20,2023
2024-03-21,2024,1,3,March,21,2023
2024-03-22,2024,1,3,March,22,2023
2024-03-23,2024,1,3,March,23,2023
2024-03-24,2024,1,3,March,24,2023
2024-03-25,2024,1,3,March,25,2023
2024-03-26,2024,1,3,March,26,2023
2024-03-27,2024,1,3,March,27,2023
2024-03-28,2024,1,3,March,28,2023
2024-03-29,2024,1,3,March,29,2023
2024-03-30,2024,1,3,March,30,2023
2024-03-31,2024,1,3,March,31,2023
2024-04-01,2024,2,4,April,1,2024
2024-04-02,2024,2,4,April,2,2024
2024-04-03,2024,2,4,April,3,2024
2024-04-04,2024,2,4,April,4,2024
2024-04-05,2024,2,4,April,5,2024
2024-04-06,2024,2,4,April,6,2024
2024-04-07,2024,2,4,April,7,2024
