sales_key,customer_key,product_key,date_key,load_date,quantity,gross_revenue,returns_amount,net_revenue
aa3bb481a66a,145ddb49fa9d,18d5ef5bc982,2023-07-21,2023-07-21,46,27714.23,0.0,27714.23
2e5a8cebdff0,f14462748587,a5c6a1018b87,2024-06-18,2024-06-18,4,357.98,0.0,357.98
2ea9a38fd751,412bfd3c4ef3,7c1d13eeb983,2024-06-11,2024-06-11,12,202.0,4.24,197.76
adaf4e61ca57,d0c07c721fca,6d2dc4462eaa,2023-04-09,2023-04-09,10,2700.55,0.0,2700.55
b5363dc72220,695aaa34caf1,dbd32c932e6d,2021-08-12,2021-08-12,44,18506.42,370.13,18136.29
7d6a3ca8500b,fad45530b963,2c14f3f7e531,2022-05-18,2022-05-18,45,12355.62,0.0,12355.62
a1a113db19cc,3e6f326efa06,c5de84a42dc7,2021-04-30,2021-04-30,25,1672.04,150.48,1521.56
1696d9637a9f,54f793231428,5ac038e72743,2021-07-16,2021-07-16,1,366.69,0.0,366.69
3a7fc899981b,882f95ad3779,fa32c1ea912e,2022-10-14,2022-10-14,19,15110.5,0.0,15110.5
03231e126193,015d65ea2573,e1ab9b5c54f9,2021-05-28,2021-05-28,44,2112.74,0.0,2112.74
63dae1337f46,8426030cf787,8b52d6236c09,2023-08-16,2023-08-16,3,1537.26,0.0,1537.26
83f7edc6854e,4f978b56d50b,8d4b91272e30,2021-10-31,2021-10-31,48,10861.91,0.0,10861.91
8752ed2f00a9,a481a6e690ce,4394e0c1508d,2022-10-24,2022-10-24,18,5813.73,0.0,5813.73
e2a03392c6f5,d7120b1f7dd9,fa32c1ea912e,2024-11-17,2024-11-17,22,17715.42,0.0,17715.42
e7f11ff6ef74,459fa76a4b8d,3eb8c47695d0,2024-01-23,2024-01-23,44,4745.3,0.0,4745.3
2ccc25dcede1,5746bfd3b4db,5ac038e72743,2020-01-29,2020-01-29,17,6145.22,0.0,6145.22
b77c96095c3c,bc21146bb1d7,5da6f21ae473,2024-08-11,2024-08-11,41,8465.2,0.0,8465.2
9e53168a78e7,4a7c2ea0b0d3,a5c6a1018b87,2023-06-03,2023-06-03,15,1607.65,0.0,1607.65
94785d405217,d37ff89ac9e5,ecad9c574b3a,2020-08-26,2020-08-26,9,4457.94,66.87,4391.07
